,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
2,C1OZ6DPJ8Y,46,84208,129188,451,26,3,21.17,24,0.31,Master's,Unemployed,Divorced,Yes,Yes,Auto,No,1
5,A9S62RQ7US,25,90298,90448,720,18,2,22.72,24,0.1,High School,Unemployed,Single,Yes,No,Business,Yes,1
8,1R0N3LGNRJ,36,42053,92357,827,83,1,23.94,48,0.2,Bachelor's,Self-employed,Divorced,Yes,No,Education,No,1
11,Y8UETC3LSG,28,149227,139759,375,56,3,5.84,36,0.8,PhD,Full-time,Divorced,No,No,Education,Yes,1
18,O1IKKLC69B,19,40718,78515,319,119,2,14.0,24,0.17,Bachelor's,Self-employed,Divorced,Yes,No,Education,No,1
23,LXK7UEMLK0,19,118989,123300,528,73,3,15.29,36,0.22,PhD,Part-time,Single,Yes,No,Business,Yes,1
27,G8AIMX5E52,39,17633,167105,514,62,3,7.86,36,0.66,High School,Full-time,Single,Yes,Yes,Auto,Yes,1
31,P3EX8G0AYT,44,100284,225403,551,31,1,18.77,36,0.17,Master's,Unemployed,Divorced,No,Yes,Business,Yes,1
40,EGBQ6R80VB,20,139321,43049,458,117,2,7.16,36,0.53,Master's,Self-employed,Single,Yes,No,Home,No,1
47,RSP1YD80Z7,35,95963,77552,560,8,2,6.63,24,0.86,Master's,Self-employed,Divorced,Yes,Yes,Home,No,1
50,06Q275JKQB,31,103515,220032,369,57,2,22.36,24,0.81,PhD,Unemployed,Divorced,No,No,Education,Yes,1
60,LCBMJZGE8D,25,85814,227368,669,58,1,19.11,36,0.75,High School,Unemployed,Divorced,Yes,No,Education,Yes,1
84,42SRSHU039,25,24742,219541,719,73,3,15.21,12,0.6,PhD,Self-employed,Divorced,No,No,Auto,No,1
86,VFVJ0MCK4P,40,137937,169513,542,25,2,14.38,12,0.57,High School,Part-time,Divorced,No,Yes,Other,No,1
103,YH36D287WZ,24,40782,172030,585,74,4,2.51,24,0.64,Bachelor's,Part-time,Married,Yes,No,Home,Yes,1
116,GXVEJUYTQ2,50,22773,174149,533,53,4,9.9,60,0.7,High School,Part-time,Divorced,Yes,No,Home,No,1
152,LRD1ETMYIL,32,29815,130015,528,1,4,21.53,12,0.48,PhD,Self-employed,Single,Yes,No,Home,No,1
